feature,coef,abs_coef
num__tenure,-1.2137570733715524,1.2137570733715524
cat__Contract_Two year,-0.8644944740066335,0.8644944740066335
cat__Contract_Month-to-month,0.7394788802063786,0.7394788802063786
cat__InternetService_Fiber optic,0.5928971838535397,0.5928971838535397
num__TotalCharges,0.5497303066875023,0.5497303066875023
cat__InternetService_DSL,-0.5424696958596988,0.5424696958596988
num__MonthlyCharges,-0.40024432330707765,0.40024432330707765
cat__MultipleLines_No,-0.2480239298922464,0.2480239298922464
cat__PaperlessBilling_No,-0.2267578154583972,0.2267578154583972
cat__InternetService_No,-0.2225152625284309,0.2225152625284309
cat__OnlineSecurity_No internet service,-0.2225152625284309,0.2225152625284309
cat__DeviceProtection_No internet service,-0.2225152625284309,0.2225152625284309
cat__StreamingTV_No internet service,-0.2225152625284309,0.2225152625284309
cat__OnlineBackup_No internet service,-0.2225152625284309,0.2225152625284309
cat__TechSupport_No internet service,-0.2225152625284309,0.2225152625284309
cat__StreamingMovies_No internet service,-0.2225152625284309,0.2225152625284309
cat__StreamingTV_Yes,0.22240988188444968,0.22240988188444968
cat__PaymentMethod_Electronic check,0.21729023133598435,0.21729023133598435
cat__Dependents_Yes,-0.1972189056377648,0.1972189056377648
cat__StreamingMovies_Yes,0.19460825777378737,0.19460825777378737
cat__OnlineSecurity_No,0.1916037752902785,0.1916037752902785
cat__PaymentMethod_Bank transfer (automatic),-0.17346650915410675,0.17346650915410675
cat__StreamingTV_No,-0.17198239389061182,0.17198239389061182
cat__TechSupport_No,0.16730521997812783,0.16730521997812783
cat__PhoneService_Yes,-0.15700516679073856,0.15700516679073856
cat__PaymentMethod_Credit card (automatic),-0.14892210719485258,0.14892210719485258
cat__StreamingMovies_No,-0.14418076977995153,0.14418076977995153
cat__OnlineSecurity_Yes,-0.14117628729643272,0.14117628729643272
cat__TechSupport_Yes,-0.1168777319842941,0.1168777319842941
cat__gender_Male,-0.1107136862519318,0.1107136862519318
cat__Partner_Yes,-0.09955968977703916,0.09955968977703916
cat__MultipleLines_Yes,0.09101876310150836,0.09101876310150836
cat__Partner_No,-0.0725280847575513,0.0725280847575513
cat__OnlineBackup_No,0.06886205072010235,0.06886205072010235
cat__PaymentMethod_Mailed check,-0.06698938952161991,0.06698938952161991
num__SeniorCitizen,0.06142492915108317,0.06142492915108317
cat__gender_Female,-0.06137408828264926,0.06137408828264926
cat__PaperlessBilling_Yes,0.0546700409238102,0.0546700409238102
cat__Contract_One year,-0.047072180734326716,0.047072180734326716
cat__DeviceProtection_Yes,0.032407526786479096,0.032407526786479096
cat__Dependents_No,0.025131131103174387,0.025131131103174387
cat__OnlineBackup_Yes,-0.018434562726255373,0.018434562726255373
cat__DeviceProtection_No,0.018019961207363343,0.018019961207363343
cat__PhoneService_No,-0.015082607743852174,0.015082607743852174
cat__MultipleLines_No phone service,-0.015082607743852174,0.015082607743852174
